PWM Percentage ,Voltage ,,PWM  percentage, Encoder Value ,Speed  M/S,,,Without Load 60 percent PWM,,,Without Load 60 PWM,,,Without Load 60 PWM,,,Withload 60 PWM,,,With Load 60 PWM ,,,With Load PWM 60,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM 
76,5.08,,62,1001,0.611,,,20:30:02.356 -> 355,,,20:35:03.983 -> 349,,,20:37:00.725 -> 349,,,20:46:16.986 -> 300,,,20:55:14.232 -> 299,,,20:56:12.445 -> 301,,,20:59:07.020 -> 143,,,21:00:13.447 -> 151,,,21:01:06.538 -> 140,,,21:02:46.914 -> 144,,,21:03:57.166 -> 140
78,5.19,,61,985,0.601,,,20:30:02.356 -> 367,,,20:35:03.983 -> 360,,,20:37:00.725 -> 360,,,20:46:16.986 -> 310,,,20:55:14.280 -> 309,,,20:56:12.489 -> 311,,,20:59:07.020 -> 147,,,21:00:13.494 -> 156,,,21:01:06.538 -> 145,,,21:02:46.914 -> 149,,,21:03:57.166 -> 144
80,5.26,,60,966,0.589,,,20:30:02.356 -> 378,,,20:35:03.983 -> 370,,,20:37:00.770 -> 370,,,20:46:16.986 -> 321,,,20:55:14.280 -> 318,,,20:56:12.489 -> 322,,,20:59:07.020 -> 151,,,21:00:13.494 -> 160,,,21:01:06.538 -> 149,,,21:02:46.914 -> 154,,,21:03:57.166 -> 149
82,5.44,,59,950,0.579,,,20:30:02.356 -> 390,,,20:35:03.983 -> 381,,,20:37:00.770 -> 381,,,20:46:17.031 -> 331,,,20:55:14.280 -> 328,,,20:56:12.489 -> 332,,,20:59:07.020 -> 156,,,21:00:13.494 -> 165,,,21:01:06.538 -> 154,,,21:02:46.914 -> 159,,,21:03:57.166 -> 153
84,5.67,,58,917,0.559,,,20:30:02.356 -> 401,,,20:35:04.031 -> 391,,,20:37:00.770 -> 392,,,20:46:17.031 -> 341,,,20:55:14.280 -> 338,,,20:56:12.489 -> 342,,,20:59:07.069 -> 160,,,21:00:13.494 -> 170,,,21:01:06.582 -> 158,,,21:02:46.962 -> 163,,,21:03:57.166 -> 158
86,6.01,,57,896,0.546,,,20:30:02.356 -> 412,,,20:35:04.031 -> 402,,,20:37:00.770 -> 403,,,20:46:17.031 -> 351,,,20:55:14.280 -> 348,,,20:56:12.533 -> 352,,,20:59:07.069 -> 164,,,21:00:13.494 -> 174,,,21:01:06.582 -> 163,,,21:02:46.962 -> 168,,,21:03:57.210 -> 162
88,6.21,,56,875,0.534,,,20:30:02.356 -> 422,,,20:35:04.031 -> 412,,,20:37:00.814 -> 414,,,20:46:17.031 -> 362,,,20:55:14.324 -> 358,,,20:56:12.533 -> 363,,,20:59:07.069 -> 169,,,21:00:13.538 -> 179,,,21:01:06.582 -> 167,,,21:02:46.962 -> 173,,,21:03:57.210 -> 167
90,6.4,,55,860,0.524,,,20:30:02.356 -> 433,,,20:35:04.031 -> 422,,,20:37:00.814 -> 425,,,20:46:17.074 -> 372,,,20:55:14.324 -> 368,,,20:56:12.533 -> 372,,,20:59:07.069 -> 173,,,21:00:13.538 -> 183,,,21:01:06.582 -> 172,,,21:02:46.962 -> 177,,,21:03:57.210 -> 171
92,6.58,,54,839,0.512,,,20:30:02.356 -> 445,,,20:35:04.031 -> 433,,,20:37:00.814 -> 435,,,20:46:17.074 -> 382,,,20:55:14.324 -> 377,,,20:56:12.533 -> 382,,,20:59:07.069 -> 178,,,21:00:13.538 -> 188,,,21:01:06.630 -> 177,,,21:02:46.962 -> 182,,,21:03:57.210 -> 176
94,6.77,,53,821,0.501,,,20:30:02.356 -> 455,,,20:35:04.075 -> 444,,,20:37:00.814 -> 446,,,20:46:17.074 -> 392,,,20:55:14.324 -> 387,,,20:56:12.533 -> 392,,,20:59:07.114 -> 182,,,21:00:13.538 -> 193,,,21:01:06.630 -> 181,,,21:02:47.006 -> 187,,,21:03:57.253 -> 181
